KPRMILL,58,38,22,18,13
MAITHANALL,58,39,29,17,14
JMA,46,33,22,16,14
JMCPROJECT,47,29,19,15,11
JMFINANCIL,40,25,14,7,2
JOCIL,45,31,20,12,9
NDL,58,48,39,12,7
PREMIER,58,54,43,3,3
JPOLYINVST,20,20,20,0,0
PERSISTENT,58,28,15,9,3
POKARNA,58,45,32,21,15
RAMKY,58,52,44,7,7
JSWENERGY,42,31,17,12,11
JSWHL,31,20,15,8,5
NDTV,58,51,46,16,15
JSWSTEEL,42,27,9,4,3
JTEKTINDIA,40,19,13,11,7
JTLINFRA,1,0,0,0,0
JUBLFOOD,36,14,7,6,2
GOLDENTOBC,58,50,44,12,10
JUBLINGREA,49,38,29,17,11
JUBLPHARMA,29,18,9,5,2
JUSTDIAL,49,31,20,16,13
JYOTHYLAB,24,10,8,5,2
SARLAPOLY,58,45,35,30,25
KAJARIACER,38,20,10,3,2
KAKATCEM,47,25,18,11,7
KALPATPOWR,32,16,10,5,3
KAMATHOTEL,42,29,21,16,12
SHREERAMA,58,48,41,21,18
SIMPLEXINF,58,49,36,10,7
SPENCERS,58,33,22,11,10
SUNDARAM,58,40,14,3,3
KANSAINER,25,13,6,1,0
KAPSTON,17,12,10,4,3
TATAPOWER,58,37,19,13,9
KARURVYSYA,48,31,17,10,4
TINPLATE,58,38,25,12,6
KAVVERITEL,16,13,8,0,0
TRITURBINE,58,45,32,21,17
KBCGLOBAL,45,41,32,2,2
WELSPUNIND,58,41,27,17,11
